Generation :   1  |  Min :  -185  |  Avg :  -116  |  Max :   -86
Generation :   2  |  Min :  -168  |  Avg :  -114  |  Max :   -83
Generation :   3  |  Min :  -164  |  Avg :  -111  |  Max :   -82
Generation :   4  |  Min :  -174  |  Avg :  -111  |  Max :   -73
Generation :   5  |  Min :  -153  |  Avg :  -109  |  Max :   -74
Generation :   6  |  Min :  -170  |  Avg :  -108  |  Max :   -74
Generation :   7  |  Min :  -163  |  Avg :  -108  |  Max :   -34
Generation :   8  |  Min :  -222  |  Avg :  -108  |  Max :   -55
Generation :   9  |  Min :  -188  |  Avg :  -107  |  Max :   -69
Generation :  10  |  Min :  -164  |  Avg :  -100  |  Max :   -63
Generation :  11  |  Min :  -151  |  Avg :   -96  |  Max :   -53
Generation :  12  |  Min :  -120  |  Avg :   -86  |  Max :   -35
Generation :  13  |  Min :  -116  |  Avg :   -83  |  Max :   -59
Generation :  14  |  Min :  -171  |  Avg :   -82  |  Max :     9
Generation :  15  |  Min :  -130  |  Avg :   -75  |  Max :    -6
Generation :  16  |  Min :  -175  |  Avg :   -72  |  Max :    13
Generation :  17  |  Min :  -140  |  Avg :   -66  |  Max :    37
Generation :  18  |  Min :  -149  |  Avg :   -55  |  Max :    40
Generation :  19  |  Min :  -125  |  Avg :   -52  |  Max :    20
Generation :  20  |  Min :  -140  |  Avg :   -41  |  Max :    27
Generation :  21  |  Min :  -133  |  Avg :   -37  |  Max :    40
Generation :  22  |  Min :  -125  |  Avg :   -37  |  Max :    47
Generation :  23  |  Min :  -127  |  Avg :   -41  |  Max :    38
Generation :  24  |  Min :  -123  |  Avg :   -31  |  Max :    41
Generation :  25  |  Min :  -126  |  Avg :   -34  |  Max :    42
Generation :  26  |  Min :  -129  |  Avg :   -32  |  Max :    57
Generation :  27  |  Min :  -175  |  Avg :   -36  |  Max :    56
Generation :  28  |  Min :  -144  |  Avg :   -41  |  Max :    58
Generation :  29  |  Min :  -165  |  Avg :   -30  |  Max :    60
Generation :  30  |  Min :  -136  |  Avg :   -25  |  Max :    68
Generation :  31  |  Min :  -142  |  Avg :   -27  |  Max :    74
Generation :  32  |  Min :  -146  |  Avg :   -32  |  Max :    92
Generation :  33  |  Min :  -160  |  Avg :   -23  |  Max :   101
Generation :  34  |  Min :  -140  |  Avg :   -14  |  Max :    88
Generation :  35  |  Min :  -138  |  Avg :   -12  |  Max :    85
Generation :  36  |  Min :  -127  |  Avg :   -10  |  Max :    88
Generation :  37  |  Min :  -130  |  Avg :   -26  |  Max :    89
Generation :  38  |  Min :  -130  |  Avg :   -26  |  Max :    76
Generation :  39  |  Min :  -142  |  Avg :   -27  |  Max :    72
Generation :  40  |  Min :  -132  |  Avg :   -20  |  Max :    75
Generation :  41  |  Min :  -123  |  Avg :   -39  |  Max :    72
Generation :  42  |  Min :  -148  |  Avg :   -31  |  Max :    75
Generation :  43  |  Min :  -148  |  Avg :   -30  |  Max :    75
Generation :  44  |  Min :  -139  |  Avg :   -26  |  Max :    74
Generation :  45  |  Min :  -141  |  Avg :   -28  |  Max :    70
Generation :  46  |  Min :  -138  |  Avg :   -35  |  Max :    76
Generation :  47  |  Min :  -128  |  Avg :   -35  |  Max :    76
Generation :  48  |  Min :  -143  |  Avg :   -21  |  Max :    76
Generation :  49  |  Min :  -122  |  Avg :   -13  |  Max :    81
Generation :  50  |  Min :  -138  |  Avg :   -16  |  Max :    73
Generation :  51  |  Min :  -129  |  Avg :   -18  |  Max :    71
Generation :  52  |  Min :  -133  |  Avg :   -14  |  Max :    73
Generation :  53  |  Min :  -128  |  Avg :   -10  |  Max :    75
Generation :  54  |  Min :  -155  |  Avg :   -17  |  Max :    76
Generation :  55  |  Min :  -147  |  Avg :   -30  |  Max :    79
Generation :  56  |  Min :  -139  |  Avg :   -36  |  Max :    77
Generation :  57  |  Min :  -147  |  Avg :   -24  |  Max :    77
Generation :  58  |  Min :  -134  |  Avg :   -29  |  Max :    71
Generation :  59  |  Min :  -128  |  Avg :   -39  |  Max :    81
Generation :  60  |  Min :  -145  |  Avg :   -33  |  Max :    79
Generation :  61  |  Min :  -147  |  Avg :   -35  |  Max :    81
Generation :  62  |  Min :  -136  |  Avg :   -42  |  Max :    72
Generation :  63  |  Min :  -145  |  Avg :   -39  |  Max :    81
Generation :  64  |  Min :  -205  |  Avg :   -35  |  Max :    84
Generation :  65  |  Min :  -130  |  Avg :   -47  |  Max :    90
Generation :  66  |  Min :  -142  |  Avg :   -31  |  Max :    75
Generation :  67  |  Min :  -132  |  Avg :   -13  |  Max :    92
Generation :  68  |  Min :  -137  |  Avg :   -22  |  Max :    73
Generation :  69  |  Min :  -128  |  Avg :   -43  |  Max :    79
Generation :  70  |  Min :  -138  |  Avg :   -35  |  Max :    76
Generation :  71  |  Min :  -135  |  Avg :   -38  |  Max :    95
Generation :  72  |  Min :  -143  |  Avg :   -30  |  Max :    78
Generation :  73  |  Min :  -123  |  Avg :   -24  |  Max :    73
Generation :  74  |  Min :  -180  |  Avg :   -18  |  Max :    87
Generation :  75  |  Min :  -132  |  Avg :   -23  |  Max :    84
Generation :  76  |  Min :  -143  |  Avg :   -29  |  Max :    74
Generation :  77  |  Min :  -159  |  Avg :   -37  |  Max :    81
Generation :  78  |  Min :  -138  |  Avg :   -34  |  Max :    79
