Generation :   1  |  Min :  -185  |  Avg :  -110  |  Max :   -27
Generation :   2  |  Min :  -207  |  Avg :  -102  |  Max :    17
Generation :   3  |  Min :  -194  |  Avg :   -91  |  Max :    25
Generation :   4  |  Min :  -196  |  Avg :  -101  |  Max :   -44
Generation :   5  |  Min :  -185  |  Avg :   -90  |  Max :    -6
Generation :   6  |  Min :  -210  |  Avg :   -90  |  Max :    -9
Generation :   7  |  Min :  -181  |  Avg :   -73  |  Max :     6
Generation :   8  |  Min :  -192  |  Avg :   -89  |  Max :   -15
Generation :   9  |  Min :  -179  |  Avg :   -77  |  Max :    14
Generation :  10  |  Min :  -161  |  Avg :   -84  |  Max :   -12
Generation :  11  |  Min :  -203  |  Avg :   -91  |  Max :   -16
Generation :  12  |  Min :  -215  |  Avg :   -98  |  Max :   -37
Generation :  13  |  Min :  -159  |  Avg :   -94  |  Max :     3
Generation :  14  |  Min :  -179  |  Avg :  -100  |  Max :   -36
Generation :  15  |  Min :  -216  |  Avg :   -99  |  Max :   -37
Generation :  16  |  Min :  -220  |  Avg :   -98  |  Max :   -30
Generation :  17  |  Min :  -194  |  Avg :   -89  |  Max :   -20
Generation :  18  |  Min :  -162  |  Avg :   -72  |  Max :    32
Generation :  19  |  Min :  -163  |  Avg :   -72  |  Max :    34
Generation :  20  |  Min :  -194  |  Avg :  -100  |  Max :    -2
Generation :  21  |  Min :  -204  |  Avg :   -76  |  Max :    23
Generation :  22  |  Min :  -177  |  Avg :  -103  |  Max :   -36
Generation :  23  |  Min :  -198  |  Avg :  -103  |  Max :   -54
Generation :  24  |  Min :  -180  |  Avg :   -92  |  Max :   -39
Generation :  25  |  Min :  -149  |  Avg :   -77  |  Max :     9
Generation :  26  |  Min :  -196  |  Avg :   -95  |  Max :   -22
Generation :  27  |  Min :  -148  |  Avg :   -81  |  Max :     6
Generation :  28  |  Min :  -161  |  Avg :   -75  |  Max :    29
Generation :  29  |  Min :  -190  |  Avg :  -102  |  Max :   -64
Generation :  30  |  Min :  -192  |  Avg :   -98  |  Max :   -35
Generation :  31  |  Min :  -154  |  Avg :   -77  |  Max :    11
Generation :  32  |  Min :  -179  |  Avg :   -91  |  Max :   -16
Generation :  33  |  Min :  -186  |  Avg :   -97  |  Max :   -20
Generation :  34  |  Min :  -200  |  Avg :   -96  |  Max :   -18
Generation :  35  |  Min :  -181  |  Avg :  -105  |  Max :   -62
Generation :  36  |  Min :  -191  |  Avg :  -101  |  Max :   -33
Generation :  37  |  Min :  -164  |  Avg :   -97  |  Max :   -32
Generation :  38  |  Min :  -170  |  Avg :   -87  |  Max :    -8
Generation :  39  |  Min :  -159  |  Avg :   -91  |  Max :   -23
Generation :  40  |  Min :  -203  |  Avg :   -96  |  Max :   -19
Generation :  41  |  Min :  -194  |  Avg :   -84  |  Max :    -3
Generation :  42  |  Min :  -169  |  Avg :   -93  |  Max :   -26
Generation :  43  |  Min :  -153  |  Avg :   -87  |  Max :     3
Generation :  44  |  Min :  -153  |  Avg :   -99  |  Max :   -34
Generation :  45  |  Min :  -186  |  Avg :   -88  |  Max :    -1
Generation :  46  |  Min :  -155  |  Avg :   -69  |  Max :    32
Generation :  47  |  Min :  -170  |  Avg :   -70  |  Max :    34
Generation :  48  |  Min :  -177  |  Avg :  -101  |  Max :   -44
Generation :  49  |  Min :  -186  |  Avg :  -101  |  Max :   -47
Generation :  50  |  Min :  -185  |  Avg :   -81  |  Max :    18
Generation :  51  |  Min :  -174  |  Avg :   -98  |  Max :   -28
Generation :  52  |  Min :  -180  |  Avg :   -83  |  Max :     8
Generation :  53  |  Min :  -170  |  Avg :   -89  |  Max :   -12
Generation :  54  |  Min :  -190  |  Avg :   -90  |  Max :     9
Generation :  55  |  Min :  -199  |  Avg :   -93  |  Max :    -2
Generation :  56  |  Min :  -152  |  Avg :   -86  |  Max :    11
Generation :  57  |  Min :  -193  |  Avg :   -95  |  Max :   -28
Generation :  58  |  Min :  -185  |  Avg :   -92  |  Max :   -19
Generation :  59  |  Min :  -191  |  Avg :   -89  |  Max :   -14
Generation :  60  |  Min :  -182  |  Avg :   -95  |  Max :   -20
Generation :  61  |  Min :  -184  |  Avg :   -99  |  Max :   -12
Generation :  62  |  Min :  -207  |  Avg :   -95  |  Max :    -5
Generation :  63  |  Min :  -174  |  Avg :  -100  |  Max :   -57
Generation :  64  |  Min :  -202  |  Avg :   -95  |  Max :   -22
Generation :  65  |  Min :  -186  |  Avg :   -85  |  Max :     4
Generation :  66  |  Min :  -186  |  Avg :   -89  |  Max :    -9
Generation :  67  |  Min :  -169  |  Avg :   -79  |  Max :     5
Generation :  68  |  Min :  -147  |  Avg :   -75  |  Max :    21
Generation :  69  |  Min :  -196  |  Avg :   -94  |  Max :   -44
Generation :  70  |  Min :  -196  |  Avg :   -87  |  Max :    17
Generation :  71  |  Min :  -180  |  Avg :   -95  |  Max :   -39
Generation :  72  |  Min :  -199  |  Avg :   -94  |  Max :   -37
Generation :  73  |  Min :  -204  |  Avg :   -89  |  Max :   -13
Generation :  74  |  Min :  -189  |  Avg :   -88  |  Max :     9
Generation :  75  |  Min :  -186  |  Avg :   -96  |  Max :   -33
Generation :  76  |  Min :  -179  |  Avg :   -92  |  Max :     0
Generation :  77  |  Min :  -187  |  Avg :   -91  |  Max :   -11
Generation :  78  |  Min :  -193  |  Avg :   -95  |  Max :     4
Generation :  79  |  Min :  -168  |  Avg :   -91  |  Max :   -12
Generation :  80  |  Min :  -190  |  Avg :   -80  |  Max :    19
Generation :  81  |  Min :  -145  |  Avg :   -62  |  Max :    23
Generation :  82  |  Min :  -171  |  Avg :  -102  |  Max :   -30
Generation :  83  |  Min :  -213  |  Avg :  -100  |  Max :   -45
Generation :  84  |  Min :  -183  |  Avg :   -93  |  Max :    -9
Generation :  85  |  Min :  -197  |  Avg :   -94  |  Max :     4
Generation :  86  |  Min :  -197  |  Avg :  -102  |  Max :   -45
Generation :  87  |  Min :  -181  |  Avg :   -82  |  Max :    -0
Generation :  88  |  Min :  -180  |  Avg :   -87  |  Max :     4
Generation :  89  |  Min :  -208  |  Avg :  -103  |  Max :   -56
Generation :  90  |  Min :  -182  |  Avg :   -91  |  Max :   -24
Generation :  91  |  Min :  -188  |  Avg :   -99  |  Max :   -27
Generation :  92  |  Min :  -180  |  Avg :   -99  |  Max :    11
Generation :  93  |  Min :  -145  |  Avg :   -83  |  Max :    15
Generation :  94  |  Min :  -175  |  Avg :   -94  |  Max :   -27
Generation :  95  |  Min :  -192  |  Avg :   -93  |  Max :   -37
Generation :  96  |  Min :  -156  |  Avg :   -93  |  Max :   -39
Generation :  97  |  Min :  -165  |  Avg :   -82  |  Max :    -4
Generation :  98  |  Min :  -168  |  Avg :   -92  |  Max :   -31
Generation :  99  |  Min :  -171  |  Avg :   -89  |  Max :     1
Generation : 100  |  Min :  -188  |  Avg :   -82  |  Max :     3
Generation : 101  |  Min :  -193  |  Avg :   -88  |  Max :    -9
Generation : 102  |  Min :  -202  |  Avg :   -98  |  Max :   -24
Generation : 103  |  Min :  -160  |  Avg :   -91  |  Max :   -18
Generation : 104  |  Min :  -193  |  Avg :   -85  |  Max :     4
Generation : 105  |  Min :  -198  |  Avg :  -101  |  Max :   -27
Generation : 106  |  Min :  -186  |  Avg :   -94  |  Max :   -21
Generation : 107  |  Min :  -189  |  Avg :   -86  |  Max :    17
Generation : 108  |  Min :  -187  |  Avg :   -81  |  Max :    31
